Year,Week,Saudi Arabia,Other Countries,Republic of Korea
2012,12,0,1,0
2012,13,0,0,0
2012,14,0,1,0
2012,15,0,0,0
2012,16,0,0,0
2012,17,0,0,0
2012,18,0,0,0
2012,19,0,0,0
2012,20,0,0,0
2012,21,0,0,0
2012,22,1,0,0
2012,23,0,0,0
2012,24,0,0,0
2012,25,0,0,0
2012,26,0,0,0
2012,27,0,0,0
2012,28,0,0,0
2012,29,0,0,0
2012,30,0,0,0
2012,31,0,0,0
2012,32,0,0,0
2012,33,0,0,0
2012,34,0,0,0
2012,35,0,0,0
2012,36,0,1,0
2012,37,0,0,0
2012,38,0,0,0
2012,39,0,0,0
2012,40,1,1,0
2012,41,1,0,0
2012,42,0,0,0
2012,43,1,0,0
2012,44,0,0,0
2012,45,1,0,0
2012,46,0,0,0
2012,47,0,0,0
2012,48,0,0,0
2012,49,0,0,0
2012,50,0,0,0
2012,51,0,0,0
2013,1,0,0,0
2013,2,0,0,0
2013,3,1,1,0
2013,4,0,0,0
2013,5,1,2,0
2013,6,0,0,0
2013,7,0,0,0
2013,8,2,0,0
2013,9,0,1,0
2013,10,0,0,0
2013,11,0,0,0
2013,12,0,0,0
2013,13,1,0,0
2013,14,0,0,0
2013,15,6,0,0
2013,16,8,1,0
2013,17,5,1,0
2013,18,3,1,0
2013,19,4,2,0
2013,20,4,1,0
2013,21,7,0,0
2013,22,5,0,0
2013,23,5,0,0
2013,24,6,0,0
2013,25,5,5,0
2013,26,1,0,0
2013,27,4,0,0
2013,28,3,0,0
2013,29,4,0,0
2013,30,1,0,0
2013,31,3,0,0
2013,32,7,3,0
2013,33,6,0,0
2013,34,7,0,0
2013,35,12,0,0
2013,36,6,0,0
2013,37,6,0,0
2013,38,3,0,0
2013,39,2,1,0
2013,40,3,1,0
2013,41,2,1,0
2013,42,3,2,0
2013,43,1,1,0
2013,44,2,2,0
2013,45,2,1,0
2013,46,2,0,0
2013,47,2,2,0
2013,48,2,0,0
2013,49,0,1,0
2013,50,6,1,0
2013,51,5,2,0
2014,1,0,0,0
2014,2,0,0,0
2014,3,2,1,0
2014,4,1,0,0
2014,5,3,0,0
2014,6,1,0,0
2014,7,2,0,0
2014,8,7,3,0
2014,9,6,1,0
2014,10,7,0,0
2014,11,19,3,0
2014,12,10,2,0
2014,13,51,12,0
2014,14,56,7,0
2014,15,61,12,0
2014,16,93,20,0
2014,17,92,7,0
2014,18,57,5,0
2014,19,30,0,0
2014,20,26,4,0
2014,21,7,1,0
2014,22,13,1,0
2014,23,6,0,0
2014,24,5,1,0
2014,25,6,1,0
2014,26,3,1,0
2014,27,0,0,0
2014,28,0,0,0
2014,29,0,0,0
2014,30,0,0,0
2014,31,2,0,0
2014,32,0,0,0
2014,33,2,0,0
2014,34,1,0,0
2014,35,5,0,0
2014,36,1,0,0
2014,37,5,1,0
2014,38,3,1,0
2014,39,5,1,0
2014,40,6,0,0
2014,41,14,1,0
2014,42,12,0,0
2014,43,7,0,0
2014,44,5,0,0
2014,45,4,0,0
2014,46,5,0,0
2014,47,5,0,0
2014,48,1,0,0
2014,49,3,0,0
2014,50,1,1,0
2014,51,4,1,0
2014,52,4,1,0
2015,1,3,1,0
2015,2,6,1,0
2015,3,6,0,0
2015,4,11,2,0
2015,5,19,0,0
2015,6,24,1,0
2015,7,20,0,0
2015,8,16,1,0
2015,9,18,0,0
2015,10,10,0,0
2015,11,5,1,0
2015,12,7,0,0
2015,13,1,0,0
2015,14,3,0,0
2015,15,1,0,0
2015,16,1,0,0
2015,17,9,0,0
2015,18,7,0,0
2015,19,4,4,1
2015,20,12,3,17
2015,21,14,0,23
2015,22,6,1,86
2015,23,2,1,37
2015,24,6,2,12
2015,25,3,0,6
2015,26,1,1,3
2015,27,1,0,0
2015,28,6,0,0
2015,29,7,0,0
2015,30,14,1,0
2015,31,23,0,0
2015,32,29,1,0
2015,33,43,1,0
2015,34,38,5,0
2015,35,33,1,0
2015,36,7,1,0
2015,37,6,4,0
2015,38,4,2,0
2015,39,3,2,0
2015,40,3,0,0
2015,41,9,0,0
2015,42,7,0,0
2015,43,3,0,0
2015,44,1,0,0
2015,45,0,0,0
2015,46,0,0,0
2015,47,2,0,0
2015,48,0,0,0
2015,49,1,0,0
2015,50,3,0,0
2015,51,0,1,0
2015,52,0,1,0
2016,1,2,0,0
2016,2,2,2,0
2016,3,2,0,0
2016,4,2,0,0
2016,5,6,0,0
2016,6,6,0,0
2016,7,10,0,0
2016,8,7,1,0
2016,9,19,0,0
2016,10,14,0,0
2016,11,10,0,0
2016,12,4,0,0
2016,13,2,0,0
2016,14,5,1,0
2016,15,4,0,0
2016,16,1,0,0
2016,17,2,0,0
2016,18,1,1,0
2016,19,1,0,0
2016,20,0,0,0
2016,21,1,0,0
2016,22,2,0,0
2016,23,5,2,0
2016,24,26,0,0
2016,25,13,0,0
2016,26,5,0,0
2016,27,3,0,0
2016,28,1,0,0
2016,29,2,0,0
2016,30,1,1,0
2016,31,3,0,0
2016,32,2,0,0
2016,33,1,0,0
2016,34,1,0,0
2016,35,2,0,0
2016,36,1,1,0
2016,37,4,0,0
2016,38,1,0,0
2016,39,0,0,0
2016,40,1,0,0
2016,41,8,0,0
2016,42,4,0,0
2016,43,4,0,0
2016,44,5,0,0
2016,45,5,0,0
2016,46,3,1,0
2016,47,9,0,0
2016,48,11,0,0
2016,49,2,0,0
2016,50,4,0,0
2016,51,9,0,0
2016,52,8,0,0
2017,1,7,0,0
2017,2,3,0,0
2017,3,5,0,0
2017,4,3,0,0
2017,5,6,0,0
2017,6,4,0,0
2017,7,5,0,0
2017,8,3,0,0
2017,9,5,0,0
2017,10,7,0,0
2017,11,2,1,0
2017,12,5,1,0
2017,13,5,0,0
2017,14,3,0,0
2017,15,2,2,0
2017,16,3,0,0
2017,17,5,0,0
2017,18,4,1,0
2017,19,3,0,0
2017,20,6,2,0
2017,21,2,0,0
2017,22,15,0,0
2017,23,28,1,0
2017,24,12,0,0
2017,25,4,0,0
2017,26,1,0,0
2017,27,1,0,0
2017,28,0,1,0
2017,29,3,0,0
2017,30,5,0,0
2017,31,4,0,0
2017,32,14,1,0
2017,33,3,0,0
2017,34,5,1,0
2017,35,5,0,0
2017,36,1,0,0
2017,37,3,0,0
2017,38,2,0,0
2017,39,3,0,0
2017,40,2,0,0
2017,41,1,0,0
2017,42,3,1,0
2017,43,5,0,0
2017,44,2,0,0
2017,45,3,0,0
2017,46,3,0,0
2017,47,3,0,0
2017,48,3,0,0
2017,49,0,0,0
2017,50,3,1,0
2017,51,4,0,0
2017,52,5,1,0
2017,53,6,0,0
2018,1,5,0,0
2018,2,4,0,0
2018,3,7,0,0
2018,4,1,0,0
2018,5,8,0,0
2018,6,6,1,0
2018,7,8,0,0
2018,8,4,0,0
2018,9,3,0,0
2018,10,5,0,0
2018,11,4,0,0
2018,12,2,0,0
2018,13,5,0,0
2018,14,2,0,0
2018,15,0,0,0
2018,16,1,0,0
2018,17,1,1,0
2018,18,1,0,0
2018,19,2,0,0
2018,20,4,0,0
2018,21,11,0,0
2018,22,1,0,0
2018,23,1,0,0
2018,24,1,0,0
2018,25,1,0,0
2018,26,3,0,0
2018,27,3,0,0
2018,28,0,0,0
2018,29,2,0,0
2018,30,1,0,0
2018,31,1,0,0
2018,32,0,1,0
2018,33,3,0,0
2018,34,4,0,1
2018,35,1,0,0
2018,36,5,0,0
2018,37,0,0,0
2018,38,3,0,0
2018,39,2,0,0
2018,40,3,0,0
2018,41,1,0,0
2018,42,3,0,0
2018,43,1,0,0
2018,44,4,0,0
2018,45,1,0,0
2018,46,0,0,0
2018,47,1,0,0
2018,48,1,0,0
2018,49,2,0,0
2018,50,0,0,0
2018,51,3,0,0
2018,52,2,0,0
2019,1,2,0,0
2019,2,3,1,0
2019,3,3,3,0
2019,4,12,4,0
2019,5,33,0,0
2019,6,15,5,0
2019,7,11,0,0
2019,8,11,0,0
2019,9,8,0,0
2019,10,4,0,0
2019,11,6,0,0
2019,12,4,0,0
2019,13,9,0,0
2019,14,5,0,0
2019,15,5,0,0
2019,16,1,0,0
2019,17,1,0,0
2019,18,2,0,0
2019,19,3,0,0
2019,20,5,0,0
2019,21,3,0,0
2019,22,2,0,0
2019,23,1,0,0
2019,24,2,0,0
